[foo,-1,-1] => Name:foo, Quality:-1, SellIn: -2
[Aged Brie,0,-1] => Name:Aged Brie, Quality:1, SellIn: -1
[Aged Brie,0,0] => Name:Aged Brie, Quality:2, SellIn: -1
[Aged Brie,0,1] => Name:Aged Brie, Quality:3, SellIn: -1
[Aged Brie,0,2] => Name:Aged Brie, Quality:4, SellIn: -1
[Aged Brie,0,49] => Name:Aged Brie, Quality:50, SellIn: -1
[Aged Brie,0,50] => Name:Aged Brie, Quality:50, SellIn: -1
[Aged Brie,0,51] => Name:Aged Brie, Quality:51, SellIn: -1
[Aged Brie,1,-1] => Name:Aged Brie, Quality:0, SellIn: 0
[Aged Brie,1,0] => Name:Aged Brie, Quality:1, SellIn: 0
[Aged Brie,1,1] => Name:Aged Brie, Quality:2, SellIn: 0
[Aged Brie,1,2] => Name:Aged Brie, Quality:3, SellIn: 0
[Aged Brie,1,49] => Name:Aged Brie, Quality:50, SellIn: 0
[Aged Brie,1,50] => Name:Aged Brie, Quality:50, SellIn: 0
[Aged Brie,1,51] => Name:Aged Brie, Quality:51, SellIn: 0
[Aged Brie,2,-1] => Name:Aged Brie, Quality:0, SellIn: 1
[Aged Brie,2,0] => Name:Aged Brie, Quality:1, SellIn: 1
[Aged Brie,2,1] => Name:Aged Brie, Quality:2, SellIn: 1
[Aged Brie,2,2] => Name:Aged Brie, Quality:3, SellIn: 1
[Aged Brie,2,49] => Name:Aged Brie, Quality:50, SellIn: 1
[Aged Brie,2,50] => Name:Aged Brie, Quality:50, SellIn: 1
[Aged Brie,2,51] => Name:Aged Brie, Quality:51, SellIn: 1
[Aged Brie,5,-1] => Name:Aged Brie, Quality:0, SellIn: 4
[Aged Brie,5,0] => Name:Aged Brie, Quality:1, SellIn: 4
[Aged Brie,5,1] => Name:Aged Brie, Quality:2, SellIn: 4
[Aged Brie,5,2] => Name:Aged Brie, Quality:3, SellIn: 4
[Aged Brie,5,49] => Name:Aged Brie, Quality:50, SellIn: 4
[Aged Brie,5,50] => Name:Aged Brie, Quality:50, SellIn: 4
[Aged Brie,5,51] => Name:Aged Brie, Quality:51, SellIn: 4
[Aged Brie,6,-1] => Name:Aged Brie, Quality:0, SellIn: 5
[Aged Brie,6,0] => Name:Aged Brie, Quality:1, SellIn: 5
[Aged Brie,6,1] => Name:Aged Brie, Quality:2, SellIn: 5
[Aged Brie,6,2] => Name:Aged Brie, Quality:3, SellIn: 5
[Aged Brie,6,49] => Name:Aged Brie, Quality:50, SellIn: 5
[Aged Brie,6,50] => Name:Aged Brie, Quality:50, SellIn: 5
[Aged Brie,6,51] => Name:Aged Brie, Quality:51, SellIn: 5
[Aged Brie,7,-1] => Name:Aged Brie, Quality:0, SellIn: 6
[Aged Brie,7,0] => Name:Aged Brie, Quality:1, SellIn: 6
[Aged Brie,7,1] => Name:Aged Brie, Quality:2, SellIn: 6
[Aged Brie,7,2] => Name:Aged Brie, Quality:3, SellIn: 6
[Aged Brie,7,49] => Name:Aged Brie, Quality:50, SellIn: 6
[Aged Brie,7,50] => Name:Aged Brie, Quality:50, SellIn: 6
[Aged Brie,7,51] => Name:Aged Brie, Quality:51, SellIn: 6
[Aged Brie,10,-1] => Name:Aged Brie, Quality:0, SellIn: 9
[Aged Brie,10,0] => Name:Aged Brie, Quality:1, SellIn: 9
[Aged Brie,10,1] => Name:Aged Brie, Quality:2, SellIn: 9
[Aged Brie,10,2] => Name:Aged Brie, Quality:3, SellIn: 9
[Aged Brie,10,49] => Name:Aged Brie, Quality:50, SellIn: 9
[Aged Brie,10,50] => Name:Aged Brie, Quality:50, SellIn: 9
[Aged Brie,10,51] => Name:Aged Brie, Quality:51, SellIn: 9
[Aged Brie,11,-1] => Name:Aged Brie, Quality:0, SellIn: 10
[Aged Brie,11,0] => Name:Aged Brie, Quality:1, SellIn: 10
[Aged Brie,11,1] => Name:Aged Brie, Quality:2, SellIn: 10
[Aged Brie,11,2] => Name:Aged Brie, Quality:3, SellIn: 10
[Aged Brie,11,49] => Name:Aged Brie, Quality:50, SellIn: 10
[Aged Brie,11,50] => Name:Aged Brie, Quality:50, SellIn: 10
[Aged Brie,11,51] => Name:Aged Brie, Quality:51, SellIn: 10
[Aged Brie,12,-1] => Name:Aged Brie, Quality:0, SellIn: 11
[Aged Brie,12,0] => Name:Aged Brie, Quality:1, SellIn: 11
[Aged Brie,12,1] => Name:Aged Brie, Quality:2, SellIn: 11
[Aged Brie,12,2] => Name:Aged Brie, Quality:3, SellIn: 11
[Aged Brie,12,49] => Name:Aged Brie, Quality:50, SellIn: 11
[Aged Brie,12,50] => Name:Aged Brie, Quality:50, SellIn: 11
[Aged Brie,12,51] => Name:Aged Brie, Quality:51, SellIn: 11
[Aged Brie,49,-1] => Name:Aged Brie, Quality:0, SellIn: 48
[Aged Brie,49,0] => Name:Aged Brie, Quality:1, SellIn: 48
[Aged Brie,49,1] => Name:Aged Brie, Quality:2, SellIn: 48
[Aged Brie,49,2] => Name:Aged Brie, Quality:3, SellIn: 48
[Aged Brie,49,49] => Name:Aged Brie, Quality:50, SellIn: 48
[Aged Brie,49,50] => Name:Aged Brie, Quality:50, SellIn: 48
[Aged Brie,49,51] => Name:Aged Brie, Quality:51, SellIn: 48
[Aged Brie,50,-1] => Name:Aged Brie, Quality:0, SellIn: 49
[Aged Brie,50,0] => Name:Aged Brie, Quality:1, SellIn: 49
[Aged Brie,50,1] => Name:Aged Brie, Quality:2, SellIn: 49
[Aged Brie,50,2] => Name:Aged Brie, Quality:3, SellIn: 49
[Aged Brie,50,49] => Name:Aged Brie, Quality:50, SellIn: 49
[Aged Brie,50,50] => Name:Aged Brie, Quality:50, SellIn: 49
[Aged Brie,50,51] => Name:Aged Brie, Quality:51, SellIn: 49
[Aged Brie,51,-1] => Name:Aged Brie, Quality:0, SellIn: 50
[Aged Brie,51,0] => Name:Aged Brie, Quality:1, SellIn: 50
[Aged Brie,51,1] => Name:Aged Brie, Quality:2, SellIn: 50
[Aged Brie,51,2] => Name:Aged Brie, Quality:3, SellIn: 50
[Aged Brie,51,49] => Name:Aged Brie, Quality:50, SellIn: 50
[Aged Brie,51,50] => Name:Aged Brie, Quality:50, SellIn: 50
[Aged Brie,51,51] => Name:Aged Brie, Quality:51, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,-1,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,-1,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,-1,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,-1,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,-1,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,-1,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,-1,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -2
[Backstage passes to a TAFKAL80ETC concert,0,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,0,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,0,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,0,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,0,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,0,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,0,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: -1
[Backstage passes to a TAFKAL80ETC concert,1,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,1,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,1,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:4, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,1,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:5, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,1,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,1,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,1,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 0
[Backstage passes to a TAFKAL80ETC concert,2,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,2,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,2,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:4, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,2,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:5, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,2,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,2,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,2,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 1
[Backstage passes to a TAFKAL80ETC concert,5,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,5,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,5,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:4, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,5,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:5, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,5,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,5,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,5,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 4
[Backstage passes to a TAFKAL80ETC concert,6,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,6,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,6,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,6,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:4, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,6,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,6,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,6,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 5
[Backstage passes to a TAFKAL80ETC concert,7,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,7,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,7,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,7,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:4, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,7,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,7,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,7,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 6
[Backstage passes to a TAFKAL80ETC concert,10,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,10,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,10,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,10,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:4, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,10,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,10,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,10,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 9
[Backstage passes to a TAFKAL80ETC concert,11,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,11,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,11,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,11,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,11,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,11,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,11,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 10
[Backstage passes to a TAFKAL80ETC concert,12,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,12,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,12,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,12,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,12,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,12,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,12,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 11
[Backstage passes to a TAFKAL80ETC concert,49,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,49,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,49,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,49,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,49,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,49,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,49,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 48
[Backstage passes to a TAFKAL80ETC concert,50,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,50,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,50,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,50,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,50,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,50,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,50,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 49
[Backstage passes to a TAFKAL80ETC concert,51,-1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:0, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,51,0] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:1, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,51,1] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:2, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,51,2] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:3, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,51,49] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,51,50] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:50, SellIn: 50
[Backstage passes to a TAFKAL80ETC concert,51,51] => Name:Backstage passes to a TAFKAL80ETC concert, Quality:51, SellIn: 50
[Sulfuras, Hand of Ragnaros,-1,-1] => Name:Sulfuras, Hand of Ragnaros, Quality:-1, SellIn: -1
[Sulfuras, Hand of Ragnaros,-1,0] => Name:Sulfuras, Hand of Ragnaros, Quality:0, SellIn: -1
[Sulfuras, Hand of Ragnaros,-1,1] => Name:Sulfuras, Hand of Ragnaros, Quality:1, SellIn: -1
[Sulfuras, Hand of Ragnaros,-1,2] => Name:Sulfuras, Hand of Ragnaros, Quality:2, SellIn: -1
[Sulfuras, Hand of Ragnaros,-1,49] => Name:Sulfuras, Hand of Ragnaros, Quality:49, SellIn: -1
[Sulfuras, Hand of Ragnaros,-1,50] => Name:Sulfuras, Hand of Ragnaros, Quality:50, SellIn: -1
[Sulfuras, Hand of Ragnaros,-1,51] => Name:Sulfuras, Hand of Ragnaros, Quality:51, SellIn: -1
[Sulfuras, Hand of Ragnaros,0,-1] => Name:Sulfuras, Hand of Ragnaros, Quality:-1, SellIn: 0
[Sulfuras, Hand of Ragnaros,0,0] => Name:Sulfuras, Hand of Ragnaros, Quality:0, SellIn: 0
[Sulfuras, Hand of Ragnaros,0,1] => Name:Sulfuras, Hand of Ragnaros, Quality:1, SellIn: 0
[Sulfuras, Hand of Ragnaros,0,2] => Name:Sulfuras, Hand of Ragnaros, Quality:2, SellIn: 0
[Sulfuras, Hand of Ragnaros,0,49] => Name:Sulfuras, Hand of Ragnaros, Quality:49, SellIn: 0
[Sulfuras, Hand of Ragnaros,0,50] => Name:Sulfuras, Hand of Ragnaros, Quality:50, SellIn: 0
[Sulfuras, Hand of Ragnaros,0,51] => Name:Sulfuras, Hand of Ragnaros, Quality:51, SellIn: 0
[Sulfuras, Hand of Ragnaros,1,-1] => Name:Sulfuras, Hand of Ragnaros, Quality:-1, SellIn: 1
[Sulfuras, Hand of Ragnaros,1,0] => Name:Sulfuras, Hand of Ragnaros, Quality:0, SellIn: 1
[Sulfuras, Hand of Ragnaros,1,1] => Name:Sulfuras, Hand of Ragnaros, Quality:1, SellIn: 1
[Sulfuras, Hand of Ragnaros,1,2] => Name:Sulfuras, Hand of Ragnaros, Quality:2, SellIn: 1
[Sulfuras, Hand of Ragnaros,1,49] => Name:Sulfuras, Hand of Ragnaros, Quality:49, SellIn: 1
[Sulfuras, Hand of Ragnaros,1,50] => Name:Sulfuras, Hand of Ragnaros, Quality:50, SellIn: 1
[Sulfuras, Hand of Ragnaros,1,51] => Name:Sulfuras, Hand of Ragnaros, Quality:51, SellIn: 1
[Sulfuras, Hand of Ragnaros,2,-1] => Name:Sulfuras, Hand of Ragnaros, Quality:-1, SellIn: 2
[Sulfuras, Hand of Ragnaros,2,0] => Name:Sulfuras, Hand of Ragnaros, Quality:0, SellIn: 2
[Sulfuras, Hand of Ragnaros,2,1] => Name:Sulfuras, Hand of Ragnaros, Quality:1, SellIn: 2
[Sulfuras, Hand of Ragnaros,2,2] => Name:Sulfuras, Hand of Ragnaros, Quality:2, SellIn: 2
[Sulfuras, Hand of Ragnaros,2,49] => Name:Sulfuras, Hand of Ragnaros, Quality:49, SellIn: 2
[Sulfuras, Hand of Ragnaros,2,50] => Name:Sulfuras, Hand of Ragnaros, Quality:50, SellIn: 2
[Sulfuras, Hand of Ragnaros,2,51] => Name:Sulfuras, Hand of Ragnaros, Quality:51, SellIn: 2
[Sulfuras, Hand of Ragnaros,5,-1] => Name:Sulfuras, Hand of Ragnaros, Quality:-1, SellIn: 5
[Sulfuras, Hand of Ragnaros,5,0] => Name:Sulfuras, Hand of Ragnaros, Quality:0, SellIn: 5
[Sulfuras, Hand of Ragnaros,5,1] => Name:Sulfuras, Hand of Ragnaros, Quality:1, SellIn: 5
[Sulfuras, Hand of Ragnaros,5,2] => Name:Sulfuras, Hand of Ragnaros, Quality:2, SellIn: 5
[Sulfuras, Hand of Ragnaros,5,49] => Name:Sulfuras, Hand of Ragnaros, Quality:49, SellIn: 5
